Designator,Mid X,Mid Y,Rotation,Layer
A1,149.698284,-142.6116,12.0,bottom
B1,147.700684,-82.8772,12.0,bottom
C1,207.3752,-54.068,0.0,top
C10,200.0352,-54.3052,90.0,top
C11,207.3412,-65.2589,315.0,top
C12,203.817,-56.099,90.0,top
C13,194.8,-58.639,90.0,top
C14,200.9242,-69.9262,270.0,top
C15,193.784,-64.481,225.0,top
C16,206.5122,-57.3532,0.0,top
C17,206.5122,-58.8772,0.0,top
C2,204.3552,-46.023,180.0,top
C3,196.5552,-49.083,0.0,top
C4,202.801,-56.099,90.0,top
C5,198.5112,-54.3052,90.0,top
C6,202.4482,-69.9262,270.0,top
C7,194.3202,-73.752,270.0,top
C8,201.023,-73.498,90.0,top
C9,207.3752,-52.868,180.0,top
C_DN1,167.371815,-158.0117,192.0,bottom
C_LT1,171.576684,-135.506,12.0,bottom
C_RT1,132.616484,-127.2286,12.0,bottom
C_UP1,154.482884,-120.1136,12.0,bottom
D1,207.9052,-49.853,90.0,top
D2,210.2852,-44.923,90.0,top
D3,212.4127,-60.943,180.0,top
DOWN1,276.8903,-65.3252,348.0,bottom
F1,205.1652,-42.903,0.0,top
HOME1,199.3738,-86.0044,0.0,bottom
J1,200.0,-32.343,180.0,top
L1,335.8183,-73.25,348.0,bottom
LEFT1,305.1097,-63.4202,348.0,bottom
LS1,99.161284,-41.907,12.0,bottom
M1,249.9917,-142.6174,348.0,bottom
M2,232.9093,-158.0057,168.0,bottom
MS1,68.452684,-51.7368,12.0,bottom
R1,207.1502,-34.163,180.0,top
R10,187.3052,-47.163,270.0,top
R11,198.8922,-69.9262,90.0,top
R12,152.272684,-61.3634,12.0,bottom
R2,195.8852,-42.673,180.0,top
R3,206.7152,-40.013,0.0,top
R4,209.7852,-60.953,0.0,top
R5,210.4852,-57.048,270.0,top
R6,212.0252,-57.048,90.0,top
R7,205.9552,-69.373,180.0,top
R8,200.4652,-50.583,270.0,top
R9,201.9952,-50.583,270.0,top
RIGHT1,251.9983,-82.8766,348.0,bottom
SELECT1,221.3702,-86.0044,0.0,bottom
START1,177.3682,-86.0044,0.0,bottom
SW1,189.0652,-41.943,270.0,top
U1,204.8077,-48.263,0.0,top
U2,200.0352,-44.793,90.0,top
U3,200.0352,-62.338,0.0,top
U4,190.9052,-50.993,270.0,top
UP1,63.880684,-73.2506,12.0,bottom
UP2,272.3183,-43.8114,348.0,bottom
X1,122.819184,-65.3689,12.0,bottom
Y1,197.7492,-73.4822,180.0,top
Y2,127.409484,-43.815,12.0,bottom
Z1,94.592684,-63.4144,12.0,bottom
